#node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
EZH2,FBXW7,9606.ENSP00000320147,9606.ENSP00000281708,0,0,0,0,0.062,0.270,0,0.509,0.634
EZH2,CDKN2A,9606.ENSP00000320147,9606.ENSP00000418915,0,0,0,0,0.049,0.093,0,0.705,0.723
EZH2,HDAC2,9606.ENSP00000320147,9606.ENSP00000430432,0.044,0,0,0,0.097,0.896,0.900,0.745,0.997
EZH2,HDAC1,9606.ENSP00000320147,9606.ENSP00000362649,0.044,0,0,0,0.097,0.939,0.900,0.989,0.999
FBXW7,AURKA,9606.ENSP00000281708,9606.ENSP00000216911,0,0,0,0,0.062,0.675,0,0.541,0.848
FBXW7,TP53,9606.ENSP00000281708,9606.ENSP00000269305,0,0,0,0,0,0.410,0.300,0.732,0.879
FBXW7,MYCN,9606.ENSP00000281708,9606.ENSP00000281043,0,0,0,0,0,0.518,0,0.703,0.851
FBXW7,EZH2,9606.ENSP00000281708,9606.ENSP00000320147,0,0,0,0,0.062,0.270,0,0.509,0.634
FBXW7,CDKN2A,9606.ENSP00000281708,9606.ENSP00000418915,0,0,0,0,0,0.060,0,0.633,0.641
FBXW7,MAX,9606.ENSP00000281708,9606.ENSP00000351490,0,0,0,0,0,0.376,0.900,0.137,0.941
HDAC1,TP53,9606.ENSP00000362649,9606.ENSP00000269305,0,0,0,0,0.062,0.927,0.900,0.989,0.999
HDAC1,MYCN,9606.ENSP00000362649,9606.ENSP00000281043,0,0,0,0,0,0.486,0,0.925,0.959
HDAC1,EZH2,9606.ENSP00000362649,9606.ENSP00000320147,0.044,0,0,0,0.097,0.939,0.900,0.989,0.999
HDAC1,MAX,9606.ENSP00000362649,9606.ENSP00000351490,0,0,0,0,0.048,0.056,0.900,0.155,0.913
HDAC1,CDKN2A,9606.ENSP00000362649,9606.ENSP00000418915,0,0,0,0,0.062,0.320,0.900,0.543,0.967
HDAC1,HDAC2,9606.ENSP00000362649,9606.ENSP00000430432,0,0,0.449,0.983,0.111,0.992,0.900,0.990,0.999
HDAC2,AURKA,9606.ENSP00000430432,9606.ENSP00000216911,0,0,0,0,0.097,0.270,0,0.172,0.406
HDAC2,TP53,9606.ENSP00000430432,9606.ENSP00000269305,0,0,0,0,0.049,0.872,0.900,0.948,0.999
HDAC2,MYCN,9606.ENSP00000430432,9606.ENSP00000281043,0,0,0,0,0,0.486,0,0.885,0.938
HDAC2,EZH2,9606.ENSP00000430432,9606.ENSP00000320147,0.044,0,0,0,0.097,0.896,0.900,0.745,0.997
HDAC2,MAX,9606.ENSP00000430432,9606.ENSP00000351490,0,0,0,0,0.045,0.141,0.900,0.088,0.915
HDAC2,HDAC1,9606.ENSP00000430432,9606.ENSP00000362649,0,0,0.449,0.983,0.111,0.992,0.900,0.990,0.999
HDAC2,CDKN2A,9606.ENSP00000430432,9606.ENSP00000418915,0,0,0,0,0.062,0.107,0,0.455,0.503
KDM4B,EZH2,9606.ENSP00000159111,9606.ENSP00000320147,0,0,0,0,0.062,0.071,0,0.511,0.537
KDM4B,MYCN,9606.ENSP00000159111,9606.ENSP00000281043,0,0,0,0,0,0,0,0.831,0.831
MAX,MYCN,9606.ENSP00000351490,9606.ENSP00000281043,0,0,0,0.702,0,0.908,0,0.901,0.932
MAX,FBXW7,9606.ENSP00000351490,9606.ENSP00000281708,0,0,0,0,0,0.376,0.900,0.137,0.941
MAX,HDAC1,9606.ENSP00000351490,9606.ENSP00000362649,0,0,0,0,0.048,0.056,0.900,0.155,0.913
MAX,CDKN2A,9606.ENSP00000351490,9606.ENSP00000418915,0,0,0,0,0,0.057,0.900,0.164,0.914
MAX,HDAC2,9606.ENSP00000351490,9606.ENSP00000430432,0,0,0,0,0.045,0.141,0.900,0.088,0.915
MYCN,KDM4B,9606.ENSP00000281043,9606.ENSP00000159111,0,0,0,0,0,0,0,0.831,0.831
MYCN,AURKA,9606.ENSP00000281043,9606.ENSP00000216911,0,0,0,0,0.062,0.973,0,0.946,0.998
MYCN,NMI,9606.ENSP00000281043,9606.ENSP00000243346,0,0,0,0,0,0.465,0,0.886,0.936
MYCN,TP53,9606.ENSP00000281043,9606.ENSP00000269305,0,0,0,0,0,0,0,0.837,0.837
MYCN,CDKN2A,9606.ENSP00000281043,9606.ENSP00000418915,0,0,0,0,0,0.285,0,0.794,0.847
MYCN,FBXW7,9606.ENSP00000281043,9606.ENSP00000281708,0,0,0,0,0,0.518,0,0.703,0.851
MYCN,MAX,9606.ENSP00000281043,9606.ENSP00000351490,0,0,0,0.702,0,0.908,0,0.901,0.932
MYCN,HDAC2,9606.ENSP00000281043,9606.ENSP00000430432,0,0,0,0,0,0.486,0,0.885,0.938
MYCN,EZH2,9606.ENSP00000281043,9606.ENSP00000320147,0,0,0,0,0,0.496,0,0.889,0.941
MYCN,HDAC1,9606.ENSP00000281043,9606.ENSP00000362649,0,0,0,0,0,0.486,0,0.925,0.959
NMI,MYCN,9606.ENSP00000243346,9606.ENSP00000281043,0,0,0,0,0,0.465,0,0.886,0.936
TP53,AURKA,9606.ENSP00000269305,9606.ENSP00000216911,0,0,0,0,0.096,0.875,0.900,0.935,0.999
TP53,MYCN,9606.ENSP00000269305,9606.ENSP00000281043,0,0,0,0,0,0,0,0.837,0.837
TP53,FBXW7,9606.ENSP00000269305,9606.ENSP00000281708,0,0,0,0,0,0.410,0.300,0.732,0.879
TP53,EZH2,9606.ENSP00000269305,9606.ENSP00000320147,0,0,0,0,0.094,0.152,0.650,0.748,0.923
TP53,CDKN2A,9606.ENSP00000269305,9606.ENSP00000418915,0,0,0,0,0,0.897,0.900,0.915,0.999
TP53,HDAC1,9606.ENSP00000269305,9606.ENSP00000362649,0,0,0,0,0.062,0.927,0.900,0.989,0.999
TP53,HDAC2,9606.ENSP00000269305,9606.ENSP00000430432,0,0,0,0,0.049,0.872,0.900,0.948,0.999
